method,surface,log_range,parameter,relative_error_pct,abs_relative_error_pct,convergence_failure
"5D L-BFGS-B (analytical grad)",asymmetric,0.657895,B,4.4526888033899707e-07,4.4526888033899707e-07,False
"5D L-BFGS-B (analytical grad)",asymmetric,0.657895,alpha,1.0402429216701764e-07,1.0402429216701764e-07,False
"5D L-BFGS-B (analytical grad)",asymmetric,0.657895,beta,1.2673382057055132e-07,1.2673382057055132e-07,False
"5D L-BFGS-B (analytical grad)",asymmetric,0.747368,E,2.671731882410804e-06,2.671731882410804e-06,False
"5D L-BFGS-B (analytical grad)",asymmetric,0.747368,A,8.690939299810461e-06,8.690939299810461e-06,False
"5D L-BFGS-B (analytical grad)",asymmetric,0.747368,B,1.7338652419507969e-06,1.7338652419507969e-06,False
"5D L-BFGS-B (analytical grad)",asymmetric,0.747368,alpha,1.7628431092414572e-06,1.7628431092414572e-06,False
"5D L-BFGS-B (analytical grad)",asymmetric,0.747368,beta,5.427283712050769e-07,5.427283712050769e-07,False
"5D L-BFGS-B (analytical grad)",asymmetric,0.836842,E,-5.113423688419045e-07,5.113423688419045e-07,False
"5D L-BFGS-B (analytical grad)",asymmetric,0.836842,A,-2.190087887071975e-06,2.190087887071975e-06,False
"5D L-BFGS-B (analytical grad)",asymmetric,0.836842,B,3.9772184485289427e-07,3.9772184485289427e-07,False
"5D L-BFGS-B (analytical grad)",asymmetric,0.836842,alpha,-4.4980353969569033e-07,4.4980353969569033e-07,False
"5D L-BFGS-B (analytical grad)",asymmetric,0.836842,beta,6.591367236965087e-08,6.591367236965087e-08,False
"5D L-BFGS-B (analytical grad)",asymmetric,0.926316,E,-1.3354008760066905e-06,1.3354008760066905e-06,False
"5D L-BFGS-B (analytical grad)",asymmetric,0.926316,A,-2.8391334847415206e-06,2.8391334847415206e-06,False
"5D L-BFGS-B (analytical grad)",asymmetric,0.926316,B,1.4516832029406937e-07,1.4516832029406937e-07,False
"5D L-BFGS-B (analytical grad)",asymmetric,0.926316,alpha,-6.645581934212751e-07,6.645581934212751e-07,False
