method,surface,log_range,parameter,relative_error_pct,abs_relative_error_pct,convergence_failure
"5D L-BFGS-B (analytical grad)",chinchilla,2.000000,beta,4.755537233843857e-08,4.755537233843857e-08,False
"5D L-BFGS-B (analytical grad)",asymmetric,0.300000,E,1.7544449902565211,1.7544449902565211,False
"5D L-BFGS-B (analytical grad)",asymmetric,0.300000,A,2.074962031230479,2.074962031230479,False
"5D L-BFGS-B (analytical grad)",asymmetric,0.300000,B,1.9512663717710168,1.9512663717710168,False
"5D L-BFGS-B (analytical grad)",asymmetric,0.300000,alpha,0.4490626907821359,0.4490626907821359,False
"5D L-BFGS-B (analytical grad)",asymmetric,0.300000,beta,0.5518555138042042,0.5518555138042042,False
"5D L-BFGS-B (analytical grad)",asymmetric,0.389474,E,2.2335361126350146,2.2335361126350146,False
"5D L-BFGS-B (analytical grad)",asymmetric,0.389474,A,20.29771962614063,20.29771962614063,False
"5D L-BFGS-B (analytical grad)",asymmetric,0.389474,B,-1.5065773182572924,1.5065773182572924,False
"5D L-BFGS-B (analytical grad)",asymmetric,0.389474,alpha,4.156850023716598,4.156850023716598,False
"5D L-BFGS-B (analytical grad)",asymmetric,0.389474,beta,-0.47407656806859105,0.47407656806859105,False
"5D L-BFGS-B (analytical grad)",asymmetric,0.478947,E,3.384323130746779e-06,3.384323130746779e-06,False
"5D L-BFGS-B (analytical grad)",asymmetric,0.478947,A,1.0423452519312484e-05,1.0423452519312484e-05,False
"5D L-BFGS-B (analytical grad)",asymmetric,0.478947,B,2.537119538510402e-06,2.537119538510402e-06,False
"5D L-BFGS-B (analytical grad)",asymmetric,0.478947,alpha,2.3074729343512576e-06,2.3074729343512576e-06,False
"5D L-BFGS-B (analytical grad)",asymmetric,0.478947,beta,6.927000013017127e-07,6.927000013017127e-07,False
"5D L-BFGS-B (analytical grad)",asymmetric,0.568421,E,4.64609179531428e-07,4.64609179531428e-07,False
"5D L-BFGS-B (analytical grad)",asymmetric,0.568421,A,-2.6441920569119594e-07,2.6441920569119594e-07,False
